feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,target
f16,f20,f36,f46,f56,f60,item20,item43,item44
f16,f20,f36,f46,f56,f60,item44,item20,item41
f16,f20,f36,f46,f56,f60,item41,item44,item3
f16,f20,f36,f46,f56,f60,item3,item41,item7
f16,f20,f36,f46,f56,f60,item7,item3,item4
f16,f20,f36,f46,f56,f60,item4,item7,item3
f16,f20,f36,f46,f56,f60,item3,item4,item3
f16,f20,f36,f46,f56,f60,item3,item3,item26
f16,f20,f36,f46,f56,f60,item26,item3,item26
f16,f20,f36,f46,f56,f60,item26,item26,item36
f16,f20,f36,f46,f56,f60,item36,item26,item26
f16,f20,f36,f46,f56,f60,item26,item36,item45
f16,f20,f36,f46,f56,f60,item45,item26,item3
f16,f20,f36,f46,f56,f60,item3,item45,item3
f16,f20,f36,f46,f56,f60,item3,item3,item3
f16,f20,f36,f46,f56,f60,item3,item3,item32
f16,f20,f36,f46,f56,f60,item32,item3,item13
f16,f20,f36,f46,f56,f60,item13,item32,item46
f16,f20,f36,f46,f56,f60,item46,item13,item40
f16,f20,f36,f46,f56,f60,item40,item46,item16
f16,f20,f36,f46,f56,f60,item16,item40,item47
f16,f20,f36,f46,f56,f60,item47,item16,item3
f16,f20,f36,f46,f56,f60,item3,item47,item48
f16,f20,f36,f46,f56,f60,item48,item3,item37
f16,f20,f36,f46,f56,f60,item37,item48,item34
f16,f20,f36,f46,f56,f60,item34,item37,item35
f16,f20,f36,f46,f56,f60,item35,item34,item4
f16,f20,f36,f46,f56,f60,item4,item35,item3
f16,f20,f36,f46,f56,f60,item3,item4,item3
f16,f20,f36,f46,f56,f60,item3,item3,item41
f16,f20,f36,f46,f56,f60,item41,item3,item49
f16,f20,f36,f46,f56,f60,item49,item41,item50
f16,f20,f36,f46,f56,f60,item50,item49,item7
f17,f20,f37,f47,f57,f60,item0,item0,item12
f17,f20,f37,f47,f57,f60,item12,item0,item11
f18,f20,f38,f48,f58,f60,item0,item0,item51
f18,f20,f38,f48,f58,f60,item51,item0,item52
f18,f20,f38,f48,f58,f60,item52,item51,item52
f18,f20,f38,f48,f58,f60,item52,item52,item53
f18,f20,f38,f48,f58,f60,item53,item52,item54
f18,f20,f38,f48,f58,f60,item54,item53,item55
f18,f20,f38,f48,f58,f60,item55,item54,item37
f18,f20,f38,f48,f58,f60,item37,item55,item52
f18,f20,f38,f48,f58,f60,item52,item37,item51
f18,f20,f38,f48,f58,f60,item51,item52,item56
f18,f20,f38,f48,f58,f60,item56,item51,item21
f18,f20,f38,f48,f58,f60,item21,item56,item47
f19,f20,f39,f49,f59,f60,item0,item0,item57
f19,f20,f39,f49,f59,f60,item57,item0,item58
f110,f20,f310,f410,f510,f60,item0,item0,item16
f110,f20,f310,f410,f510,f60,item16,item0,item16
f110,f20,f310,f410,f510,f60,item16,item16,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item40
f110,f20,f310,f410,f510,f60,item40,item16,item40
f110,f20,f310,f410,f510,f60,item40,item40,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item40
f110,f20,f310,f410,f510,f60,item40,item40,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item40
f110,f20,f310,f410,f510,f60,item40,item40,item40
f110,f20,f310,f410,f510,f60,item40,item40,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item16
f110,f20,f310,f410,f510,f60,item16,item16,item59
f110,f20,f310,f410,f510,f60,item59,item16,item59
f110,f20,f310,f410,f510,f60,item59,item59,item16
f110,f20,f310,f410,f510,f60,item16,item59,item40
f110,f20,f310,f410,f510,f60,item40,item16,item40
f110,f20,f310,f410,f510,f60,item40,item40,item16
f110,f20,f310,f410,f510,f60,item16,item40,item16
f110,f20,f310,f410,f510,f60,item16,item16,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item40
f110,f20,f310,f410,f510,f60,item40,item16,item37
f110,f20,f310,f410,f510,f60,item37,item40,item38
f110,f20,f310,f410,f510,f60,item38,item37,item37
f110,f20,f310,f410,f510,f60,item37,item38,item26
f110,f20,f310,f410,f510,f60,item26,item37,item59
f110,f20,f310,f410,f510,f60,item59,item26,item59
f110,f20,f310,f410,f510,f60,item59,item59,item60
f110,f20,f310,f410,f510,f60,item60,item59,item61
f110,f20,f310,f410,f510,f60,item61,item60,item62
f110,f20,f310,f410,f510,f60,item62,item61,item63
f110,f20,f310,f410,f510,f60,item63,item62,item61
f110,f20,f310,f410,f510,f60,item61,item63,item16
f110,f20,f310,f410,f510,f60,item16,item61,item4
f110,f20,f310,f410,f510,f60,item4,item16,item7
f110,f20,f310,f410,f510,f60,item7,item4,item3
f110,f20,f310,f410,f510,f60,item3,item7,item3
f110,f20,f310,f410,f510,f60,item3,item3,item41
f110,f20,f310,f410,f510,f60,item41,item3,item3
f110,f20,f310,f410,f510,f60,item3,item41,item64
f110,f20,f310,f410,f510,f60,item64,item3,item3
f110,f20,f310,f410,f510,f60,item3,item64,item16
f110,f20,f310,f410,f510,f60,item16,item3,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item40
f110,f20,f310,f410,f510,f60,item40,item16,item16
f110,f20,f310,f410,f510,f60,item16,item40,item59
f110,f20,f310,f410,f510,f60,item59,item16,item16
f110,f20,f310,f410,f510,f60,item16,item59,item5
f110,f20,f310,f410,f510,f60,item5,item16,item65
f110,f20,f310,f410,f510,f60,item65,item5,item66
f110,f20,f310,f410,f510,f60,item66,item65,item5
f110,f20,f310,f410,f510,f60,item5,item66,item13
f110,f20,f310,f410,f510,f60,item13,item5,item36
f110,f20,f310,f410,f510,f60,item36,item13,item67
f111,f20,f311,f411,f511,f60,item0,item0,item21
f112,f21,f312,f412,f512,f60,item0,item0,item68
f112,f21,f312,f412,f512,f60,item68,item0,item8
f112,f21,f312,f412,f512,f60,item8,item68,item69
f113,f20,f313,f413,f513,f60,item0,item0,item70
f113,f20,f313,f413,f513,f60,item70,item0,item71
f113,f20,f313,f413,f513,f60,item71,item70,item71
f113,f20,f313,f413,f513,f60,item71,item71,item70
f113,f20,f313,f413,f513,f60,item70,item71,item71
f113,f20,f313,f413,f513,f60,item71,item70,item72
f113,f20,f313,f413,f513,f60,item72,item71,item73
f113,f20,f313,f413,f513,f60,item73,item72,item71
f113,f20,f313,f413,f513,f60,item71,item73,item74
f113,f20,f313,f413,f513,f60,item74,item71,item71
f113,f20,f313,f413,f513,f60,item71,item74,item70
f113,f20,f313,f413,f513,f60,item70,item71,item71
f113,f20,f313,f413,f513,f60,item71,item70,item74
f113,f20,f313,f413,f513,f60,item74,item71,item75
f113,f20,f313,f413,f513,f60,item75,item74,item71
f113,f20,f313,f413,f513,f60,item71,item75,item76
f113,f20,f313,f413,f513,f60,item76,item71,item76
f113,f20,f313,f413,f513,f60,item76,item76,item76
f113,f20,f313,f413,f513,f60,item76,item76,item72
f113,f20,f313,f413,f513,f60,item72,item76,item76
f113,f20,f313,f413,f513,f60,item76,item72,item72
f113,f20,f313,f413,f513,f60,item72,item76,item77
f113,f20,f313,f413,f513,f60,item77,item72,item72
f113,f20,f313,f413,f513,f60,item72,item77,item78
f113,f20,f313,f413,f513,f60,item78,item72,item77
f113,f20,f313,f413,f513,f60,item77,item78,item72
f113,f20,f313,f413,f513,f60,item72,item77,item70
f113,f20,f313,f413,f513,f60,item70,item72,item72
f113,f20,f313,f413,f513,f60,item72,item70,item77
f113,f20,f313,f413,f513,f60,item77,item72,item72
f113,f20,f313,f413,f513,f60,item72,item77,item71
f113,f20,f313,f413,f513,f60,item71,item72,item72
f113,f20,f313,f413,f513,f60,item72,item71,item77
f113,f20,f313,f413,f513,f60,item77,item72,item58
f113,f20,f313,f413,f513,f60,item58,item77,item58
f113,f20,f313,f413,f513,f60,item58,item58,item71
f113,f20,f313,f413,f513,f60,item71,item58,item71
f113,f20,f313,f413,f513,f60,item71,item71,item58
f113,f20,f313,f413,f513,f60,item58,item71,item79
f113,f20,f313,f413,f513,f60,item79,item58,item80
f113,f20,f313,f413,f513,f60,item80,item79,item80
f113,f20,f313,f413,f513,f60,item80,item80,item76
f113,f20,f313,f413,f513,f60,item76,item80,item70
f113,f20,f313,f413,f513,f60,item70,item76,item81
f113,f20,f313,f413,f513,f60,item81,item70,item71
f113,f20,f313,f413,f513,f60,item71,item81,item78
f113,f20,f313,f413,f513,f60,item78,item71,item71
f113,f20,f313,f413,f513,f60,item71,item78,item78
f113,f20,f313,f413,f513,f60,item78,item71,item52
f113,f20,f313,f413,f513,f60,item52,item78,item71
f113,f20,f313,f413,f513,f60,item71,item52,item58
f113,f20,f313,f413,f513,f60,item58,item71,item78
f113,f20,f313,f413,f513,f60,item78,item58,item78
f113,f20,f313,f413,f513,f60,item78,item78,item82
f113,f20,f313,f413,f513,f60,item82,item78,item78
f113,f20,f313,f413,f513,f60,item78,item82,item70
f113,f20,f313,f413,f513,f60,item70,item78,item71
f113,f20,f313,f413,f513,f60,item71,item70,item71
f113,f20,f313,f413,f513,f60,item71,item71,item71
f113,f20,f313,f413,f513,f60,item71,item71,item74
f113,f20,f313,f413,f513,f60,item74,item71,item83
f113,f20,f313,f413,f513,f60,item83,item74,item58
f13,f20,f314,f414,f514,f60,item0,item0,item84
f13,f20,f314,f414,f514,f60,item84,item0,item85
f13,f20,f314,f414,f514,f60,item85,item84,item86
f13,f20,f314,f414,f514,f60,item86,item85,item50
f114,f20,f315,f415,f515,f60,item0,item0,item87
f114,f20,f315,f415,f515,f60,item87,item0,item46
f114,f20,f315,f415,f515,f60,item46,item87,item13
f115,f22,f316,f416,f512,f60,item0,item0,item41
f115,f22,f316,f416,f512,f60,item41,item0,item41
f115,f22,f316,f416,f512,f60,item41,item41,item41
f10,f20,f317,f417,f516,f60,item0,item0,item71
f10,f20,f317,f417,f516,f60,item71,item0,item1
f10,f20,f317,f417,f516,f60,item1,item71,item78
f10,f20,f317,f417,f516,f60,item78,item1,item17
f10,f20,f317,f417,f516,f60,item17,item78,item88
f10,f20,f317,f417,f516,f60,item88,item17,item17
f10,f20,f317,f418,f516,f60,item0,item0,item71
f10,f20,f317,f418,f516,f60,item71,item0,item2
f10,f20,f317,f418,f516,f60,item2,item71,item1
f10,f20,f317,f418,f516,f60,item1,item2,item51
f10,f20,f317,f418,f516,f60,item51,item1,item89
f10,f20,f317,f418,f516,f60,item89,item51,item71
f10,f20,f317,f418,f516,f60,item71,item89,item90
f10,f20,f317,f418,f516,f60,item90,item71,item90
f10,f20,f317,f418,f516,f60,item90,item90,item51
f10,f20,f317,f418,f516,f60,item51,item90,item71
f10,f20,f317,f418,f516,f60,item71,item51,item91
f10,f20,f317,f418,f516,f60,item91,item71,item92
f10,f20,f317,f418,f516,f60,item92,item91,item78
f10,f20,f317,f418,f516,f60,item78,item92,item78
f10,f20,f317,f418,f516,f60,item78,item78,item17
f10,f20,f317,f418,f516,f60,item17,item78,item17
f116,f20,f318,f419,f517,f60,item0,item0,item41
f116,f20,f318,f419,f517,f60,item41,item0,item41
f116,f20,f318,f419,f517,f60,item41,item41,item36
f116,f20,f318,f419,f517,f60,item36,item41,item26
f116,f20,f318,f419,f517,f60,item26,item36,item41
f116,f20,f318,f419,f517,f60,item41,item26,item61
f116,f20,f318,f419,f517,f60,item61,item41,item24
f116,f20,f318,f419,f517,f60,item24,item61,item5
f116,f20,f318,f419,f517,f60,item5,item24,item5
f116,f20,f318,f419,f517,f60,item5,item5,item6
f116,f20,f318,f419,f517,f60,item6,item5,item93
f116,f20,f318,f419,f517,f60,item93,item6,item41
f116,f20,f318,f419,f517,f60,item41,item93,item36
f116,f20,f318,f419,f517,f60,item36,item41,item94
f116,f20,f318,f419,f517,f60,item94,item36,item42
f116,f20,f318,f419,f517,f60,item42,item94,item45
f116,f20,f318,f419,f517,f60,item45,item42,item42
f116,f20,f318,f419,f517,f60,item42,item45,item94
f116,f20,f318,f419,f517,f60,item94,item42,item13
f116,f20,f318,f419,f517,f60,item13,item94,item7
f116,f20,f318,f419,f517,f60,item7,item13,item94
f116,f20,f318,f419,f517,f60,item94,item7,item4
f116,f20,f318,f419,f517,f60,item4,item94,item42
f116,f20,f318,f419,f517,f60,item42,item4,item45
f117,f23,f319,f412,f512,f60,item0,item0,item46
f118,f20,f320,f420,f518,f60,item0,item0,item37
f118,f20,f320,f420,f518,f60,item37,item0,item38
f118,f20,f320,f420,f518,f60,item38,item37,item95
f118,f20,f320,f420,f518,f60,item95,item38,item96
f118,f20,f320,f420,f518,f60,item96,item95,item96
f10,f20,f321,f421,f519,f60,item0,item0,item2
f10,f20,f321,f421,f519,f60,item2,item0,item27
f10,f20,f321,f421,f519,f60,item27,item2,item28
f10,f20,f321,f421,f519,f60,item28,item27,item27
f10,f20,f321,f421,f519,f60,item27,item28,item17
f10,f20,f321,f421,f519,f60,item17,item27,item1
f10,f20,f321,f421,f519,f60,item1,item17,item2
f10,f20,f321,f421,f519,f60,item2,item1,item88
f10,f20,f321,f421,f519,f60,item88,item2,item33
f10,f20,f321,f421,f519,f60,item33,item88,item88
f10,f20,f321,f421,f519,f60,item88,item33,item21
f10,f20,f321,f421,f519,f60,item21,item88,item2
f10,f20,f321,f421,f519,f60,item2,item21,item1
f10,f20,f321,f421,f519,f60,item1,item2,item23
f10,f20,f321,f421,f519,f60,item23,item1,item21
f10,f20,f321,f421,f519,f60,item21,item23,item2
f10,f20,f321,f421,f519,f60,item2,item21,item2
f10,f20,f321,f421,f519,f60,item2,item2,item71
f10,f20,f321,f421,f519,f60,item71,item2,item90
f119,f20,f322,f422,f520,f60,item0,item0,item20
f119,f20,f322,f422,f520,f60,item20,item0,item17
f120,f20,f323,f423,f521,f60,item0,item0,item16
f120,f20,f323,f423,f521,f60,item16,item0,item16
f120,f20,f323,f423,f521,f60,item16,item16,item40
f120,f20,f323,f423,f521,f60,item40,item16,item16
f120,f20,f323,f423,f521,f60,item16,item40,item40
f120,f20,f323,f423,f521,f60,item40,item16,item40
f120,f20,f323,f423,f521,f60,item40,item40,item16
f120,f20,f323,f423,f521,f60,item16,item40,item16
f120,f20,f323,f423,f521,f60,item16,item16,item16
f120,f20,f323,f423,f521,f60,item16,item16,item40
f120,f20,f323,f423,f521,f60,item40,item16,item16
f120,f20,f323,f423,f521,f60,item16,item40,item16
f120,f20,f323,f423,f521,f60,item16,item16,item40
f120,f20,f323,f423,f521,f60,item40,item16,item16
f120,f20,f323,f423,f521,f60,item16,item40,item16
f120,f20,f323,f423,f521,f60,item16,item16,item40
f120,f20,f323,f423,f521,f60,item40,item16,item16
f120,f20,f323,f423,f521,f60,item16,item40,item40
f120,f20,f323,f423,f521,f60,item40,item16,item16
f120,f20,f323,f423,f521,f60,item16,item40,item16
f120,f20,f323,f423,f521,f60,item16,item16,item16
f120,f20,f323,f423,f521,f60,item16,item16,item16
f120,f20,f324,f424,f522,f60,item0,item0,item59
f120,f20,f324,f424,f522,f60,item59,item0,item59
f120,f20,f324,f424,f522,f60,item59,item59,item59
f120,f20,f324,f424,f522,f60,item59,item59,item13
f120,f20,f324,f424,f522,f60,item13,item59,item13
f120,f20,f324,f424,f522,f60,item13,item13,item34
f120,f20,f324,f424,f522,f60,item34,item13,item37
f120,f20,f324,f424,f522,f60,item37,item34,item34
f120,f20,f324,f424,f522,f60,item34,item37,item34
f120,f20,f324,f424,f522,f60,item34,item34,item92
f120,f20,f324,f424,f522,f60,item92,item34,item51
f120,f20,f324,f424,f522,f60,item51,item92,item51
f120,f20,f324,f424,f522,f60,item51,item51,item97
f120,f20,f324,f424,f522,f60,item97,item51,item34
f120,f20,f324,f424,f522,f60,item34,item97,item34
f120,f20,f324,f424,f522,f60,item34,item34,item37
f120,f20,f324,f424,f522,f60,item37,item34,item34
f120,f20,f324,f424,f522,f60,item34,item37,item34
f120,f20,f324,f424,f522,f60,item34,item34,item34
f120,f20,f324,f424,f522,f60,item34,item34,item51
f120,f20,f324,f424,f522,f60,item51,item34,item97
f120,f20,f324,f424,f522,f60,item97,item51,item51
f120,f20,f324,f424,f522,f60,item51,item97,item97
f120,f20,f324,f424,f522,f60,item97,item51,item34
f120,f20,f324,f424,f522,f60,item34,item97,item34
f120,f20,f324,f424,f522,f60,item34,item34,item51
f120,f20,f324,f424,f522,f60,item51,item34,item97
f120,f20,f324,f424,f522,f60,item97,item51,item98
f120,f20,f324,f424,f522,f60,item98,item97,item97
f120,f20,f324,f424,f522,f60,item97,item98,item51
f120,f20,f324,f424,f522,f60,item51,item97,item34
f120,f20,f324,f424,f522,f60,item34,item51,item34
f120,f20,f324,f424,f522,f60,item34,item34,item92
f120,f20,f324,f424,f522,f60,item92,item34,item51
f120,f20,f324,f424,f522,f60,item51,item92,item34
f120,f20,f324,f424,f522,f60,item34,item51,item34
f120,f20,f324,f424,f522,f60,item34,item34,item51
f120,f20,f324,f424,f522,f60,item51,item34,item97
f120,f20,f324,f424,f522,f60,item97,item51,item97
f120,f20,f324,f424,f522,f60,item97,item97,item51
f120,f20,f324,f424,f522,f60,item51,item97,item98
f120,f20,f324,f424,f522,f60,item98,item51,item97
f120,f20,f324,f424,f522,f60,item97,item98,item51
f120,f20,f324,f424,f522,f60,item51,item97,item97
f120,f20,f324,f424,f522,f60,item97,item51,item51
f120,f20,f324,f424,f522,f60,item51,item97,item97
f120,f20,f324,f424,f522,f60,item97,item51,item51
f120,f20,f324,f424,f522,f60,item51,item97,item97
f120,f20,f324,f424,f522,f60,item97,item51,item51
f120,f20,f324,f424,f522,f60,item51,item97,item34
f120,f20,f324,f424,f522,f60,item34,item51,item97
f120,f20,f324,f424,f522,f60,item97,item34,item51
f120,f20,f324,f424,f522,f60,item51,item97,item51
f120,f20,f324,f424,f522,f60,item51,item51,item97
f120,f20,f324,f424,f522,f60,item97,item51,item51
f120,f20,f324,f424,f522,f60,item51,item97,item97
f120,f20,f324,f424,f522,f60,item97,item51,item51
